index,entity,disambig_term,text,wikipedia_link
"1908","manitowoc","Manitowoc","What are some things new employees should know going into their first day at Manitowoc?","https://en.wikipedia.org/wiki/The_Manitowoc_Company"
"1909","mic","MIC","MIC,sampleRate,AudioFormat.","https://en.wikipedia.org/wiki/Microphone"
"1910","founding","Founding","Annexed by the British to Cape Colony in 1843, Natal became a separate colony after 1856 and a founding province of South Africa in 1910.",""
"1911","atc","ATC","What is the difference between the average total cost (ATC) and average variable cost (AVC) that decreases as output increases?","https://en.wikipedia.org/wiki/Average_cost"
"1912","guardian","Guardian","However for Ruby the only option I found is rubyencoder.com (the same company as PHP source Guardian).",""
"1913","californian","Californian","Are Californian parents good parents?","https://en.wikipedia.org/wiki/California"
"1914","razer","Razer","What is Razer's Project Valerie and what makes it noteworthy?","https://en.wikipedia.org/wiki/Razer_Inc."
"1915","ornamental","Ornamental","Our Small windmill is an authentic 4 leg Ornamental windmill and is a pleasing addition to any outdoor setting around your home or garden.","https://en.wikipedia.org/wiki/Ornament_(art)"
"1916","tgt","TGT","What is PGT and TGT in teaching?",""
"1917","yii","YII","p>As far as Yii, the only things that scare me about it are that it is newer than the other frameworks so it has a smaller community.","https://en.wikipedia.org/wiki/Yii"
"1918","nostra","Nostra","La nostra Francesca studia bene.",""
"1919","tr","TR","This TR is oriented towards modifying existing programs, often by adding an extra parameter with the buffer length.","https://en.wikipedia.org/wiki/tr_(Unix)"
"1920","caucasian","Caucasian","Russian special services recorded contacts between Caucasian militants and reps of U.S. special services in Azerbaijan","https://en.wikipedia.org/wiki/Caucasus"
"1921","rochester","Rochester","Handed to me by Lovely Warren, the mayor of Rochester.","https://en.wikipedia.org/wiki/Rochester,_New_York"
"1922","cohen","Cohen","In Marianne Ihlen, Cohen found a muse, and the two were together through the â€™60s.","https://en.wikipedia.org/wiki/Cohen_(surname)"
"1923","abs","ABS","ABS-CBN Corporation.","https://en.wikipedia.org/wiki/ABS-CBN"
"1924","vladimir","Vladimir","russian president vladimir putins overwhelming","https://en.wikipedia.org/wiki/Vladimir_Putin"
"1925","shelf","Shelf","Expect a 2- to 3-month shelf-life of bread stored in the freezer.","https://en.wikipedia.org/wiki/Shelf_life"
"1926","chell","Chell","Why does Chell awaken inside Aperture Science post the events of Portal 1 at the start of Portal 2?","https://en.wikipedia.org/wiki/Chell_(Portal)"
"1927","mdf","MDF","The MDF file is 1962MB in size.","https://en.wikipedia.org/wiki/Microsoft_SQL_Server"
"1928","avenger","Avenger","I am facing the dilemma of either buying a Royal Enfield Classic 350 or an Avenger cruise 220.","https://en.wikipedia.org/wiki/Bajaj_Avenger"
"1929","delta","Delta","Delta's chip technology lets passengers track bags November 15, 2016, 7:43 AM | Delta is the latest airline trying to make lost baggage a thing of the past.","https://en.wikipedia.org/wiki/Delta_Air_Lines"
"1930","hardwick","Hardwick","hardwick concedes jack might be tiring","https://en.wikipedia.org/wiki/Hardwick_(surname)"
"1931","celica","Celica","What other lignt signal part can I add besides the original on a 1982 Toyota Celica GTS?","https://en.wikipedia.org/wiki/Toyota_Celica"
"1932","niigata","Niigata","What are the best aspects of living in Niigata, Japan as a young adult?","https://en.wikipedia.org/wiki/Niigata,_Niigata"
"1933","bindi","Bindi","Do Sikh women ever wear Bindi (dot on forehead) as Hindu women do ?","https://en.wikipedia.org/wiki/Bindi_(decoration)"
"1934","ko","Ko","thickIdeal outdoor lighting solution for harsh marine environments (marine-grade)CETL certifiedEnergy efficient LED lampingPart of the Ko collection by Access Lighting",""
"1935","ubo","Ubo","My thinking is that if every instance of the geometry shader had its own thread index (similar to CUDA), it could create the cell's patch using only that index, and bBoxMin2d and bBoxMax2d from e.g. a UBO.",""
"1936","dry","Dry","I don't want to be writing these kind of LINQ statements for each entity, it violates DRY.","https://en.wikipedia.org/wiki/Don't_repeat_yourself"
"1937","palm","Palm","I know that this kind of thing can be done on the new Palm's - for example, my Centro can have email or web sites download when the application isn't on top -","https://en.wikipedia.org/wiki/Palm_(PDA)"
"1938","orel","Orel","What are some lesser-known sights to see when visiting Orel, Russia, Ezersky Studio?","https://en.wikipedia.org/wiki/Orel,_Russia"
"1939","runaway bride","Runaway bride","Pretty Womanâ€ and Runaway Bride, died Tuesday, July 19, 2016.","https://en.wikipedia.org/wiki/Runaway_Bride_(film)"
"1940","rover","Rover","Researchers have proposed attempting to grow these plants in a mobile greenhouse on Mars during the next Mars rover landing, which is expected to land on the planet by 2021.","https://en.wikipedia.org/wiki/Mars_rover"
"1941","sass","Sass","I have heard Sass talked about enthusiastically but am resistant to learn something new without knowing why it's better than the alternative - in this case plain CSS.","https://en.wikipedia.org/wiki/Sass_(stylesheet_language)"
"1942","horizontal","Horizontal","A manual solar tracking was facilitated along the two axes up to 4.68 0 vertical and 11.54 0 horizontal.","https://en.wikipedia.org/wiki/Horizontal_plane"
"1943","tab","TAB","I cannot get the login screen to recognize the TAB character to tab to the password text field.","https://en.wikipedia.org/wiki/Tab_key#Tab_characters"
"1944","sud","Sud","The main thing is that, in the near future, things are not going to change much or at all, Sud said.",""
"1945","sharmila","Sharmila","(Ms. Sharmila)","https://en.wikipedia.org/wiki/Given_name"
"1946","ff","FF","maximum cut width7-position rotating depth stop for FF, #0, #10, #20, simplex, duplex and max (#6) biscuitsPrecise micro-height adjustment knob that retains accuracy at all anglesConvenient lock-on triggerSpindle lock that enables easy blade changes3-year limited manufacturer warranty1-year free service contract with PORTER-CABLE90-day money-back guaranteeHome Depot Protection Plan:",""
"1947","rehman","Rehman","wrong?:Nabila Rehman was picking vegetables from her family garden last year when missiles from a US drone rained down from the sky, killing her grandmother and injuring her and seven other children.","https://en.wikipedia.org/wiki/Rahman_(name)"
"1948","woods","Woods","Regina, Hobbs 7 (Steel, Woods)","https://en.wikipedia.org/wiki/Woods_(surname)"
"1949","tie","Tie","What are TIE cells in VLSI?","https://en.wikipedia.org/wiki/Angiopoietin_receptor"
"1950","nikki","Nikki","This modern wood mirror belongs to the exquisite Nikki design series.","https://en.wikipedia.org/wiki/Nikki_(given_name)"
"1951","degree","Degree","He kicks her off, but she does a 720 degree backflip, kicks through the side windows, and hangs upside down by her feet, her head almost striking the road.","https://en.wikipedia.org/wiki/Degree_(angle)"
"1952","portuguese","Portuguese","It's in Portuguese.","https://en.wikipedia.org/wiki/Portuguese_language"
"1953","cent","Cent","It's now June and I haven't seen 1 cent returned!!!","https://en.wikipedia.org/wiki/Cent_(currency)"
"1954","kier","Kier","Mar 2011',), ('152', 'Farko', 'Kier'), ('153', 'Park', 'Pub'), ('09",""
"1955","watts","Watts","If your refrigerator demands 780 watts, multiply 780 by eight hours to get 6,240 watts per day.","https://en.wikipedia.org/wiki/Watt"
"1956","frank","Frank","The Nerazzurri sacked Frank de Boer last week following their 1-0 Serie","https://en.wikipedia.org/wiki/Frank_de_Boer"
"1957","transit","Transit","p>2) on the returned JSON object of DirectionsStatus, there are also info about walking and/or TRANSIT.","https://en.wikipedia.org/wiki/Transport"
"1958","vulcan","Vulcan","If Sarek's condition had been discovered earlier and BEFORE everything escalated, then perhaps a trip to Vulcan would have been more feasible.","https://en.wikipedia.org/wiki/Vulcan_(Star_Trek)#Homeworld"
"1959","moe","Moe","Is it possible to accept MOE's tuition grant during an undergraduate at NUS, apply for a deferment, then study a postgraduate overseas and pay the liquidated amount instead of serving the bond?",""
"1960","newport","Newport","Parody of the Jay-Z Alicia Keys song, New York, based around the very unromantic Welsh town of Newport, becomes internet sensation.","https://en.wikipedia.org/wiki/Newport,_Wales"
"1961","mta","MTA","Commuter cuffed for trying to shove MTA worker onto Downtown subway tracks Man cuffed for trying to shove worker onto Downtown subway tracks Police arrested a commuter who tried to push an MTA worker onto the Downtown Bowling Green station tracks.","https://en.wikipedia.org/wiki/Metropolitan_Transportation_Authority"
"1962","wow","Wow","The sensational mini Bluetooth speaker that packs enough power to WOW music and dance fans alike with clear, distortion-free audio right from the palm of your hand.","https://en.wikipedia.org/wiki/Sound_Retrieval_System"
"1963","vmt","VMT","<p>It looks like the VMT does not include a field which contains the unit name where the class is defined.","https://en.wikipedia.org/wiki/Virtual_method_table"
"1964","cid","CID","What is the difference between CID and the crime branch of India?","https://en.wikipedia.org/wiki/Crime_Investigation_Department_(India)"
"1965","thr","Thr","Ours had a wonderful view of thr Chrysler Building,whilst our friends had a good view of thr Empire State Building.","https://en.wikipedia.org/wiki/The"
"1966","version","Version","What's the different between RELEASE and VERSION in Software Engineering?","https://en.wikipedia.org/wiki/Software_versioning"
"1967","eaton","Eaton","What are some things new employees should know going into their first day at Eaton?","https://en.wikipedia.org/wiki/Eaton_Corporation"
"1968","std","STD","What is the difference between local calls and STD calls?","https://en.wikipedia.org/wiki/Subscriber_trunk_dialling"
"1969","osb","OSB","In fact, recent price quotes from Denver, Boston and Atlanta put 7/16-inch osb $3.00 to as much as $5.00 per sheet lower than 1/2-inch cdx plywood.","https://en.wikipedia.org/wiki/Oriented_strand_board"
"1970","misfits","Misfits","The Misfits,â€ with Marilyn Monroe and Clark Gable, and then, two years later, marrying its screenwriter, Arthur Miller, with whom she later collaborated on books about Russia and China.","https://en.wikipedia.org/wiki/The_Misfits_(film)"
"1971","vol","Vol","How can I get that information about the VOL file?","https://en.wikipedia.org/wiki/vol_(command)"
"1972","ocp","OCP","The first formed crystalline material has a solubility similar to that of octacalcium phosphate (OCP) and the computed thermodynamic solubility product remains invariant in the pH range 7.00--8.60.","https://en.wikipedia.org/wiki/Octacalcium_phosphate"
"1973","sec","SEC","The Demons could do nothing with bullish center Davis, a member of the SEC coaches' preseason first team.","https://en.wikipedia.org/wiki/Southeastern_Conference"
"1974","odi","ODI","Cummins has played just the one ODI, against Ireland in February 2014.","https://en.wikipedia.org/wiki/One_Day_International"
"1975","pnp","PNP","Specific activity of PNP in ribosome fractions obtained under ultracentrifugation of total polyribosomes in succrose density gradient (0.3-1.0 M) increased in the direction from the fraction of heavy polysomes to trimers and dimers and then dropped at the region of monomers (80 S particles).","https://en.wikipedia.org/wiki/Purine_nucleoside_phosphorylase"
"1976","python","Python","What is a list of Indian companies working in Python?","https://en.wikipedia.org/wiki/Python_(programming_language)"
"1977","rtc","RTC","each cruising track has 32 preset positionsBuilt-in RTC clock for timing functionTiming actions for 7 days of programmable scheduleAddition wipers to ensure a clear video imageBuilt-in fan, heater and thermostat control3000 Volt lightning and surge current protection6 in.","https://en.wikipedia.org/wiki/Real-time_clock"
"1978","harry","Harry","Here is the debug for query Title:Harry , Title:","https://en.wikipedia.org/wiki/Harry_(name)"
"1979","osler","Osler","hemoglobin Osler was conducted measuring the functional properties, the subunits dissociation, the CD and electronic spectra, the protons absorption upon interaction with polyanions, and the reactivity of the -SH groups of the protein.","https://en.wikipedia.org/wiki/Hereditary_hemorrhagic_telangiectasia"
"1980","identity","Identity","One of the columns contains a unique identifier (though not an IDENTITY type, just a plain ol' int) that's actually unique across a few different tables.","https://en.wikipedia.org/wiki/Identity_(philosophy)"
"1981","view","View","We had requested a river view/Trump-Tower-view room and we got that with no problems; wonderful view from our 18th floor room.","https://en.wikipedia.org/wiki/Panorama"
"1982","pm","PM","PM | One woman who voted for Donald Trump says she was scared for her safety, to participate in a focus group moderated by CBS News contributor Frank Luntz.",""
"1983","corinthian","Corinthian","A19 medium 60-Watt light bulbsSafety listed for use in wet locationsDecorative Corinthian bronze finish to accent and brighten your roomHome Depot Protection Plan:","https://en.wikipedia.org/wiki/Corinthian_order"
"1984","examination","Examination",".. 9 Month of examination if knownâ€¦","https://en.wikipedia.org/wiki/Physical_examination"
"1985","grid","Grid","Grid also provides a level surface for glasses and dishes.",""
"1986","drew","Drew","The code above originally called the wrapper class 'Proxy' instead of 'Attorney' and used pointers instead of references but was otherwise equivalent to what Drew found, which I then deemed the best generally known solution.","https://en.wikipedia.org/wiki/Drew_(name)"
"1987","multiple","Multiple","The bed was quite hard, but after multiple days of sightseeing, a welcome place to relax.",""
"1988","buy","Buy","Tip - buy a Muni pass.","https://en.wikipedia.org/wiki/Trade"
"1989","jessica","Jessica","The real heart of the question is how i can assign the temporary fake id of 5 to Jessica and not just some random number.","https://en.wikipedia.org/wiki/Jessica_(name)"
"1990","edit","Edit","How can I edit two tables at a go with just one EDIT button using PHP and SQL?","https://en.wikipedia.org/wiki/Editing"
"1991","cassell","Cassell","Goddard was an avid reader, devouring Cassell's Popular Educator as well as science-fiction novels.","https://en.wikipedia.org/wiki/Cassell_(publisher)"
"1992","mt","MT","NOTE: if your house is 100 sq mt ground floor plus 50 sq mt next floor; the TOTAL floor area is 150 sq mt.","https://en.wikipedia.org/wiki/Metre"
"1993","bis","BIS","4- [2-(2-hydroxyethoxy) ethyl] diethylenediamine salt of 1,1â€²-methylene bis (2 hydroxy- 3-naphthalene carboxylic acid).","https://en.wikipedia.org/wiki/BIS"
"1994","mil","Mil","My 90-year-old MIL wants to go to Mardi Gras, stay on Bourbon St. to watch the festivities.",""
"1995","mie","MIE","['Dom', 'Lun', 'Mar', 'Mie', 'Jue', 'Vie', 'Sab']",""
"1996","linq","Linq","What are some tips and tricks for using LINQ?","https://en.wikipedia.org/wiki/Language_Integrated_Query"
"1997","article","Article","[Article in French]","https://en.wikipedia.org/wiki/Article_(publishing)"
"1998","vladimir","Vladimir","How is Vladimir pronounced in Russian?","https://en.wikipedia.org/wiki/Vladimir_(name)"
"1999","apl","APL","I am partially thinking it may have been implemented in APL because of the IBM 360 connection and because it seems like it would lend itself well to the sort of abstractions required to rapidly develop such a system.","https://en.wikipedia.org/wiki/APL_(programming_language)"
"2000","suns","Suns","Devin Booker leads the Suns in scoring at 18.8 points, but scored a total of 22 in his last two contests since recording 30 versus Washington on Monday.","https://en.wikipedia.org/wiki/Phoenix_Suns"
"2001","yang","Yang","It's up to Lin Hsiao-yang to take care of her pre-teen sister, who has already begun to steal, and a brother  who is a burglar and gang member.<ref namehttp://www.nytimes.com/1988/09/30/movies/rootless-in-americanized-taiwan.html?sec |titleCanby |firstSeptember 30, 1988 |publisherJune 8, 2009}}","https://en.wikipedia.org/wiki/Yang_(surname)"
"2002","tfc","TFC","In separate experiments, after repeated oral administration of 3,4,4'-trichlorocarbanilide (TCC) and 3-trifluoromethyl-4,4'-dichlorocarbanilide (TFC) to rats, the biliary metabolites of each were isolated and identified.",""
"2003","bigelow","Bigelow","Speaking at the annual Spacecom conference this week, Bigelow said increasing NASAâ€™s funding would be good for the space industry and the United States economy.","https://en.wikipedia.org/wiki/Bigelow_(surname)"
"2004","naa","NAA","LAA, DHAA or NaA did not induce lymphocyte transformation or modulate lectin-induced mitogenesis.","https://en.wikipedia.org/wiki/1-Naphthaleneacetic_acid"
"2005","kid","Kid","Our basic premise for choosing the hotel was 1)it allowed for more than 1 kid in the room; 2)it seemed like a new, clean and 4-5* hotel; and 3)great price/value for the hotel.","https://en.wikipedia.org/wiki/Child"
"2006","romano","Romano","Get the look you want at an affordable price and be assured that your countertop will lastBianco Romano offers the look of a solid surface but is low maintenanceInstallation ready for your convenience, making it the perfect choice for your DIY projectCreates a healthier indoor environment and sanitary food preparation areaClick",""
"2007","xlr","XLR","The valid model names are: DTS, Escalade, ESV, EXT, SRX, STS, and XLR.","https://en.wikipedia.org/wiki/Cadillac_XLR"
"2008","bath","Bath","For example, consider an 8Ã—12 bath remodeling project.","https://en.wikipedia.org/wiki/Bathtub"
"2009","spooner","Spooner","2, Boston, Spooner 2 (Krug, Krejci), 10:47 (pp). 3, Tampa Bay, Hedman 2 (Filppula, Kucherov), 15:09 (pp).","https://en.wikipedia.org/wiki/Ryan_Spooner"
"2010","preparation","Preparation","You can also prepare a tincture using a 1:5 preparation in 90% alcohol.",""
"2011","sweep","Sweep","Made of sturdy steel, the smooth steel lines of the Sweep collection will add a contemporary touch to your home.",""
"2012","tes","TES","How does it feel like joining the Indian army through Tes entry?",""
"2013","yc","YC","What was it like to work with Sam Altman before he joined YC?","https://en.wikipedia.org/wiki/Y_Combinator_(company)"
"2014","woodside","Woodside","Woodside is ideal for smaller yards or patios.",""
"2015","ecstasy","Ecstasy","MDMA (Ecstasy):","https://en.wikipedia.org/wiki/MDMA"
"2016","metropolitan","Metropolitan","Following this is the South Florida Non-metropolitan area with a $54,970 annual wage ($26.43 hourly wage)","https://en.wikipedia.org/wiki/Metropolitan_area"
"2017","srm","SRM","I got a rank of 15000 in SRM.","https://en.wikipedia.org/wiki/SRM_University"
"2018","disruptor","Disruptor","<p>I am new to Disruptor.",""
"2019","express","Express","Just 5 mins of walking from the Paddington Station (linked to Heathrow by 15-min express train).Rooms are really small (I stayed in a single room) but adequate if you need a room just to sleep.","https://en.wikipedia.org/wiki/Express_train"
"2020","maxima","Maxima","Maxima observed in pH profiles with both binding and reactivation are interpreted as the composite fo two overlapping processes, one of which is ionization of the pyridinium nitrogen of pyridoxal 5-phosphate and the other a functional group on the apoenzyme.","https://en.wikipedia.org/wiki/Maxima_and_minima"
"2021","package","Package","Package contains 6 towels.18 in.","https://en.wikipedia.org/wiki/Mail#Other_mail_services"
"2022","finale","Finale","The CFX Lite includes the powerful ARIA player, and is designed to be a perfect addition to music notation-based programs, like Finale, as well as to all sequencers and digital audio work stations.","https://en.wikipedia.org/wiki/Finale_(software)"
"2023","profile","Profile","One mother that is introduced early on in the film is Robi Damelin.http://www.justvision.org/profile",""
"2024","sku","SKU","To that end, the Server Core option sounds appealing, but I'm not clear about whether or not I can run SQL Server on that SKU.","https://en.wikipedia.org/wiki/Stock_keeping_unit"
"2025","nra","NRA","Should the NRA withdraw its endorsement of Donald Trump?","https://en.wikipedia.org/wiki/National_Rifle_Association"
"2026","radical","Radical","Cameron Backs Plans to Protect Children With 'Radical' New Web Porn Filters","https://en.wikipedia.org/wiki/Political_radicalism"
"2027","suite","Suite","I was thinking about the OSGi approach the Suite has, that is one of the most interesting abstract things about SOA in general and WSO2 in particular I have found.","https://en.wikipedia.org/wiki/Software_suite"
"2028","juke","Juke","By adding the Sentra for the first time to a collection that already includes a GT-R, 370Z, Juke and Juke RS NISMOs, Nissan is trying to restore to the staid Sentra","https://en.wikipedia.org/wiki/Nissan_Juke"
"2029","tls","TLS","I am using Gmail for SMTP, with the TLS plugin.","https://en.wikipedia.org/wiki/Transport_Layer_Security"
"2030","aac","AAC","How do I move AAC audio files that I have in Documents 5 (by Readdle) to Apple Music?","https://en.wikipedia.org/wiki/Advanced_Audio_Coding"
"2031","escape","Escape","<br> 2008 Ford Escape","https://en.wikipedia.org/wiki/Ford_Escape"
"2032","imperial","Imperial","I want to identify the numbers (could be integers, floats, negative...), the units of measure (optional, but could include SI or Imperial physical units, currency codes, counts such as night/s in my example), mathematical operators (as math symbols or as words including at per, of, discount, etc), and all other words.","https://en.wikipedia.org/wiki/Imperial_units"
"2033","kbr","KBR","Isopycnic density gradient ultracentrifugation in KBr produced a high-density lipoprotein layer with a 24-fold increase in specific activity.","https://en.wikipedia.org/wiki/Potassium_bromide"
"2034","mats","MATS","If not, how can I warpAffine other type Mats?",""
"2035","theodore","Theodore","It's pretty clear that Theodore was the one to blame for his marriage not working - right?","https://en.wikipedia.org/wiki/Theodore_(name)"
"2036","dravidian","Dravidian","Is Telugu a Dravidian language?","https://en.wikipedia.org/wiki/Dravidian_languages"
"2037","cps","CPS","Erythrocytes coated with C-polysaccharide (CPS) and reacted with CRP (E. CPS-CRP) failed to adhere to B cells and displayed only minimal adherence to monocytes.","https://en.wikipedia.org/wiki/Capsular-polysaccharide_endo-1,3-alpha-galactosidase"
"2038","fn","FN","FN error: Error Domain",""
"2039","fault","Fault","As indicated in my other article, I was able to get detailed information for a BatchRequest through the Fault and Error objects.","https://en.wikipedia.org/wiki/Trap_(computing)"
"2040","lime","Lime","Ingredients: 750g peeled gooseberries 125g dried apricots, finely chopped 15g fresh ginger, finely grated Juice of 1 lime 2 fresh vanilla beans Procedure:","https://en.wikipedia.org/wiki/Lime_(fruit)"
"2041","temp","Temp","Day labor, Temp workers...","https://en.wikipedia.org/wiki/Temporary_work"
"2042","gsh","GSH","GSH and analogues of GSH were competitive inhibitors of p-nitroaniline release, but those analogues in which glycine was replaced by 2-aminoisobutyrate, phenylalanine, leucine or tyrosine had Ki values that were approximately five times those of analogues with the cysteine residue replaced.","https://en.wikipedia.org/wiki/Glutathione"
"2043","jenny","Jenny",">Jenny just started work as a programmer for Justine's Java Workshop.","https://en.wikipedia.org/wiki/Jenny_(given_name)"
"2044","morphology","Morphology","Morphology varied, depending upon conditions and phases of growth.","https://en.wikipedia.org/wiki/Morphology_(biology)"
"2045","packet","Packet","500ms latency and 17% packet loss to the US for you computer","https://en.wikipedia.org/wiki/Network_packet"
"2046","access","Access","In other words, I want to do what Access or JETCOMP.exe is doing, not what JRO.JetEngine.","https://en.wikipedia.org/wiki/Microsoft_Access"
"2047","vim","Vim","<p>It looks like the tricky part here may lie in the fact that the path is relative to the .csproj file, not the .sln file which is the current directory in Vim and lies one directory above the .csproj","https://en.wikipedia.org/wiki/Vim_(text_editor)"
"2048","hoist","Hoist","The Buffalo Tools 2-Ton manual Hoist sports a compact design that easily folds down for storage and is constructed of heavy-gauge welded steel for lasting durability.","https://en.wikipedia.org/wiki/Hoist_(device)"
"2049","martin","Martin","Martin took to his blog to tell readers that he plans to spend most of 2017 working on the forthcoming book, The Winds of Winter â€•","https://en.wikipedia.org/wiki/Martin_(name)"
"2050","lh","LH","The analogues that exhibited at least a 95% inhibition of LH and 77% of FSH release at 1 h and 75% and 40% of FSH release at 4 h in immature male rats, gave high blockade of ovulation.","https://en.wikipedia.org/wiki/Luteinizing_hormone"
"2051","ord","Ord","Ord (AStrI);  //",""
"2052","champlain","Champlain","Genuine KOHLER partWorks on various one piece toiletsInstructions includedFor use with KOHLER Palarre 3383, Rochelle 3385, Champlain 3390, Pompton 3400 toilets",""
"2053","driver","Driver","How are career prospects in Driver assistance software development?","https://en.wikipedia.org/wiki/Device_driver"
"2054","ho","Ho","Ho do I make proposals?",""
"2055","brazilian","Brazilian","Maia and Guida, both over 40 years old, spent most of their lives in a circus 800 miles away in the Brazilian state of Minas Gerais.","https://en.wikipedia.org/wiki/Brazil"
"2056","sse","SSE","In SSE rrb work department means?",""
"2057","ee","EE","I have been admitted to an MS in EE for Fall 2015 in USC and NCSU.","https://en.wikipedia.org/wiki/Electrical_engineering"
"2058","butt","Butt","How does Apex Vitality Booty Pop work to enhance Butt?","https://en.wikipedia.org/wiki/Buttocks"
"2059","cbr","CBR","<p>Encoding your MP3s in VBR can save a massive amount of bandwidth compared to CBR, yet you can still find tons of people who aren't using it, even when bandwidth is at a premium.","https://en.wikipedia.org/wiki/Constant_bitrate"
"2060","iv","IV","What are the risks of IV sedation?","https://en.wikipedia.org/wiki/Intravenous_therapy"
"2061","center","Center","Pros: very nice pool and spa on the 42nd floor, rooms and lobby were clean, easy walk to Michigan Ave through via the lower level walkway to the Illinois State center, beds were comfortable.","https://en.wikipedia.org/wiki/City_centre"
"2062","montrose","Montrose","What are the pros and cons of living in Montrose, Colorado?","https://en.wikipedia.org/wiki/Montrose,_Colorado"
"2063","gcm","GCM","Using GCM how does apps like Facebook, Quora, etc send notifications to a single user/device out of so many in the database?","https://en.wikipedia.org/wiki/Google_Cloud_Messaging"
"2064","mistral","Mistral","Russia says France must fulfil Mistral contract or return money - agency","https://en.wikipedia.org/wiki/Mistral-class_amphibious_assault_ship"
"2065","start","Start","The tiled Start interface in Windows 10 was designed with touch screens in mind, and makes interacting with your various applications as easy as it's ever been.","https://en.wikipedia.org/wiki/Start_menu"
"2066","script","Script","<p>I'm using Firebug 1.3.3 with Firefox 3.0.10, and I wanted to know if it was possible to enable the Console, Script, and Net consoles all the time.","https://en.wikipedia.org/wiki/Scripting_language"
"2067","mac","Mac","Help the Iranian bloggers: spoof your MAC address and tunnel through an SSH account to mask your IP so it looks like you're not in TEHRAN.","https://en.wikipedia.org/wiki/Macintosh"
"2068","athletics","Athletics","Athletics' governing body suppressed a study which showed as many as a third of the world's top athletes admitted violating anti-doping rules, according to the Sunday Times.","https://en.wikipedia.org/wiki/Sport_of_athletics"
"2069","ajax","Ajax","Arsenal and Chelsea are both interested in bringing Ajax midfielder Riechedly Bazoer to the Premier League in January, according to Voetbal International .","https://en.wikipedia.org/wiki/AFC_Ajax"
"2070","ibc","IBC","Who is the worldÃ¢Â€Â™s biggest manufacturer of IBC container?","https://en.wikipedia.org/wiki/Intermediate_bulk_container"
"2071","the sea","The Sea","The Old Man and The Sea","https://en.wikipedia.org/wiki/Sea"
"2072","vox","Vox","What's up with Vox media constantly publishing anti Trump and pro Hillary pieces?","https://en.wikipedia.org/wiki/Vox_Media"
"2073","combo","Combo","The fields that have keywords are Combo boxes on my form, and their ControlSource is the keyword field from the query (like I mentioned earlier, the value can only be one keyword out of a list).","https://en.wikipedia.org/wiki/Combo_box"
"2074","render","Render","It was really simple in ASP.NET where all I had to do was override the Render method.","https://en.wikipedia.org/wiki/Artistic_rendering"
"2075","hye","Hye","Forthright high-school student Ju Ja-hye  sells her sweat-stained panties on the internet and wants to lose her virginity to scruffy fish-sausage seller Choi-kang Sang-du ; the older man is uninterested in her advances but Ja-hye cannot work out why.","https://en.wikipedia.org/wiki/Hye_(Korean_name)"
"2076","primo","Primo","This magnificent dresser from our Primo collection is a simple, elegant piece that will only make your bedroom that much better.",""
"2077","ca","CA","Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT","https://en.wikipedia.org/wiki/California"
"2078","spring","Spring","<p>So is there a way to initialize and start a command line Spring app without writing a main method.","https://en.wikipedia.org/wiki/Spring_Framework"
"2079","red cedar","Red Cedar","Western Red Cedar board to enhance the look of any project.","https://en.wikipedia.org/wiki/Thuja_plicata"
"2080","fx","FX","Chinese bank stops FX trades with European banks","https://en.wikipedia.org/wiki/Foreign_exchange_market"
"2081","freed","Freed","Freed under a pardon, Castro fled to Mexico and organized a rebel band that returned in 1956, sailing across the Gulf of Mexico to Cuba on a yacht named Granma.",""
"2082","pivot","Pivot","I would like to use PIVOT (if even possible) to make the results like","https://en.wikipedia.org/wiki/Pivot_table"
"2083","dee","Dee","as a girls' name is pronounced HYE-dee.","https://en.wikipedia.org/wiki/D"
"2084","pcb","PCB","CRI 80There is a piece of integrated LED PCB board included in the fixture and total 24 pieces LED mounted on the PCB board, non-replaceable LEDs50,000 lifetime based on 3 hours use per day5 years warrantyNon dimmableHome Depot Protection Plan:","https://en.wikipedia.org/wiki/Printed_circuit_board"
"2085","dec","Dec","Diethylcarbamazine (DEC) was active in vitro against infective larvae and microfilariae of Brugia pahangi but only at high concentrations.","https://en.wikipedia.org/wiki/Diethylcarbamazine"
"2086","fortune","Fortune","A few months later, Marylin divorces Howard and receives the Doyle Oil fortune.","https://en.wikipedia.org/wiki/Wealth"
"2087","modern","Modern","The sitting room had a table and two chairs and a comfy couch for two and a modern television set.","https://en.wikipedia.org/wiki/Modern_history"
"2088","the past","The Past","<li>within the past","https://en.wikipedia.org/wiki/Past"
"2089","vds","VDS","4 Amp, 12 VDS, 2 Amp, 28 VDS.Controls LED and CFL lights24-hour or 7-day digital timer with up to 20 on/off eventsAstronomic feature, random feature, auto daylight saving time adjustmentNo neutral wire - perfect for retrofits and remodel projectsSingle and 3-way applications",""
"2090","torre","Torre","Cuban exiles such as Torre tried numerous ways to dislodge Castro after he took control in 1959, including the failed 1961 CIA-backed invasion memorialized on his shirt.",""
"2091","mezzo","Mezzo","The Mezzo is a larger version of the Nano Vanity.",""
"2092","vargas","Vargas","On Saturday night, Top Rank will call Brian Kenny (MLB Network), Stephen A. Smith (ESPN) and Top Rank fighter Timothy Bradley -- who has fought both Pacquiao and Vargas -- serving as the commentating team for the fight.","https://en.wikipedia.org/wiki/Vargas_(surname)"
"2093","cleanup","Cleanup","Cleanup is quick and easy.18 in.","https://en.wikipedia.org/wiki/Cleanliness"
